prop_starrating,prop_review_score,prop_brand_bool,prop_location_score,prop_accesibility_score,prop_log_historical_price,price_usd,promotion_flag
3,4,1,0,0,5,150,0
3,5,1,1,0,5,140,0
3,5,1,1,0,5,145,0
4,5,1,0,0,5,125,0
3,5,1,0,0,5,154,0
3,5,1,1,0,5,144,0
3,4,1,2,0,5,131,0
2,4,1,2,0,5,91,0
2,3,0,1,0,5,77,0
2,3,1,1,0,5,107,0
3,5,1,2,0,5,95,0
2,4,1,2,0,5,95,0
2,4,0,2,0,5,108,0
2,2,1,1,0,4,75,0
2,5,1,1,0,4,107,0
3,4,1,1,0,5,131,0
2,4,0,1,0,5,105,0
3,5,1,1,0,5,120,0
3,3,1,1,0,5,121,0
4,4,1,3,0,5,147,1
3,3,0,3,0,5,121,0
4,5,1,3,0,6,156,0
4,4,1,3,0,5,147,1
4,5,0,3,0,5,158,0
3,5,1,3,0,5,118,0
3,5,1,3,0,5,99,0
4,5,1,3,0,5,112,0
