prop_starrating,prop_review_score,prop_brand_bool,prop_location_score,prop_accesibility_score,prop_log_historical_price,price_usd,promotion_flag
5,5,1,5,0,0,233,0
4,5,1,5,0,0,161,0
5,4,1,5,0,0,123,0
5,4,0,5,0,0,118,0
4,5,1,5,0,0,125,0
4,4,1,5,0,0,102,0
4,5,1,5,0,0,146,0
5,5,1,5,0,0,206,0
5,5,1,5,0,0,212,1
5,5,1,5,0,0,137,0
4,5,1,5,0,0,143,0
4,4,1,5,0,0,110,0
4,4,1,5,0,0,104,0
4,5,0,5,0,0,123,1
3,3,0,5,0,0,86,0
3,4,0,5,0,0,69,0
3,3,0,5,0,0,84,0
4,4,0,5,0,0,84,0
4,4,1,5,0,0,73,0
4,5,1,5,0,0,98,0
4,4,0,5,0,0,105,0
5,5,0,5,0,0,147,0
4,4,1,5,0,0,123,0
4,4,0,5,0,0,134,1
4,4,1,4,0,0,73,0
5,5,1,5,0,0,133,0
4,4,1,5,0,0,89,0
4,5,1,5,0,0,117,0
4,3,0,5,0,0,90,0
